DISTRICT,MANDAL,LOCATION NAME,LATITUDE,LONGITUDE,TYPE OF CAMERA,Type Of Analytics
PRAKASAM,CHIMAKUTHY,K.V.Palem Bridge,15.577569,79.870504,FIXED,Fixed - General Surveillance
PRAKASAM,CHIMAKUTHY,Minister home siddavari street,15.5856513,79.86904029,FIXED,Fixed - General Surveillance
PRAKASAM,CHIMAKUTHY,Naidupalem Road (Chepala Bazar),15.58624933,79.8697194,FIXED,Fixed - General Surveillance
PRAKASAM,CHIMAKUTHY,Naidupalem Road (Chepala Bazar),15.58624933,79.8697194,PTZ,PTZ - General Surveillance
PRAKASAM,CHIMAKUTHY,Nehru Nagar BOYs Hostel,15.5856513,79.86904029,FIXED,Fixed - General Surveillance
PRAKASAM,CHIMAKUTHY,Nehru Nagar BOYs Hostel,15.5856513,79.86904029,PTZ,PTZ - General Surveillance
PRAKASAM,CHIMAKUTHY,NSP Canal West bypass,15.587574,79.852617,ANPR,ANPR - Free Flow
PRAKASAM,CHIMAKUTHY,NSP Canal West bypass,15.5873715,79.85306564,ANPR,ANPR - Free Flow
PRAKASAM,CHIMAKUTHY,NSP Canal West bypass,15.581642,79.854007,ANPR,ANPR - Free Flow
PRAKASAM,CHIMAKUTHY,NSP Canal West bypass,15.58578,79.853939,ANPR,ANPR - Free Flow
PRAKASAM,CHIMAKUTHY,NSP Canal West bypass,15.587504,79.85405,PTZ,PTZ - General Surveillance
PRAKASAM,CHIMAKUTHY,NTR statue thurpu bazar,15.58721001,79.86948965,FIXED,Fixed - General Surveillance
PRAKASAM,CHIMAKUTHY,Old police station,15.58554167,79.867651,FIXED,Fixed - General Surveillance
PRAKASAM,CHIMAKUTHY,Pidathalapudi Center,15.58371617,79.87202086,FIXED,Fixed - General Surveillance
PRAKASAM,CHIMAKUTHY,Pidathalapudi Center,15.584621,79.87029136,PTZ,PTZ - General Surveillance
PRAKASAM,CHIMAKUTHY,Police station,15.58371617,79.87202086,FIXED,Fixed - General Surveillance
PRAKASAM,CHIMAKUTHY,Police station,15.58371617,79.87202086,PTZ,PTZ - General Surveillance
PRAKASAM,CHIMAKUTHY,RTC Bustand center,15.58652391,79.86318815,FIXED,Fixed - General Surveillance
PRAKASAM,CHIMAKUTHY,SBI center,15.58307749,79.87335987,FIXED,Fixed - General Surveillance
PRAKASAM,CHIMAKUTHY,SBI center,15.58307749,79.87335987,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,Bestapalem road Centre,15.82744736,80.35459496,ANALYTICS,Analytics - Crowd Gathering
PRAKASAM,CHIRALA,Bestapalem road Centre,15.82744736,80.35459496,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,Bestapalem road Centre,15.82782283,80.35605344,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,Bestapalem road Centre,15.82782283,80.35605344,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,DGK Park Centre,15.8288428,80.35635413,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,DGK Park Centre,15.8288428,80.35635413,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,G.K theatre,15.82782283,80.35605344,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,G.K theatre,15.82782283,80.35605344,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,G.K theatre,15.82782283,80.35605344,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,In front of bus stand,15.82993822,80.35540165,ANPR,ANPR - Free Flow
PRAKASAM,CHIRALA,In front of bus stand,15.82993822,80.35540165,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,In front of bus stand,15.82993822,80.35540165,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,In front of bus stand,15.831121,80.35538409,ANPR,ANPR - Free Flow
PRAKASAM,CHIRALA,In front of bus stand,15.831121,80.35538409,ANALYTICS,Analytics - No Parking
PRAKASAM,CHIRALA,In front of bus stand,15.83080534,80.35489913,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,In front of bus stand,15.83080534,80.35489913,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,In front of Railway Station,15.83047014,80.35428517,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,In front of Railway Station,15.83047014,80.35428517,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,In front of Railway Station,15.83043951,80.35413504,ANALYTICS,Analytics - Crowd Gathering
PRAKASAM,CHIRALA,In front of Railway Station,15.83043951,80.35413504,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,MGC Market Centre,15.82767297,80.35382037,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,MGC Market Centre,15.82767297,80.35382037,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,MGC Market Centre,15.82860544,80.35377889,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,MGC Market Centre,15.82860544,80.35377889,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,MGC rear gate & Paparajuthota road,15.82559644,80.3518281,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,MGC rear gate & Paparajuthota road,15.82559644,80.3518281,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,Mukkonam Park,15.83000958,80.35351661,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,Mukkonam Park,15.83000958,80.35351661,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,Mukkonam Park,15.83000958,80.35351661,ANALYTICS,Analytics - No Parking
PRAKASAM,CHIRALA,Mukkonam Park,15.83000958,80.35351661,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,Muncipal Office,15.82881542,80.35164447,FRS,FRS
PRAKASAM,CHIRALA,Muncipal Office,15.82881542,80.35164447,ANALYTICS,Analytics - No Parking
PRAKASAM,CHIRALA,Muncipal Office,15.82716119,80.35161313,ANPR,ANPR - Free Flow
PRAKASAM,CHIRALA,Muncipal Office,15.82716119,80.35161313,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,Muncipal Office,15.8292402,80.35204113,ANPR,ANPR - Free Flow
PRAKASAM,CHIRALA,Muncipal Office,15.8292402,80.35204113,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,Munthavari Center,15.82422554,80.35211361,ANALYTICS,Analytics - Wrong Direction
PRAKASAM,CHIRALA,Munthavari Center,15.82422554,80.35211361,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,Munthavari Center,15.82559644,80.3518281,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,Munthavari Center,15.82559644,80.3518281,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,Perala Andhara Bank Junction,15.83025266,80.35893274,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,Pragada Kotaiah statue centre,15.82904559,80.35781137,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,Pragada Kotaiah statue centre,15.82904559,80.35781137,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,Prasad theatre centre,15.81673953,80.34561872,ANPR,ANPR - Free Flow
PRAKASAM,CHIRALA,Prasad theatre centre,15.81673953,80.34561872,ANPR,ANPR - Free Flow
PRAKASAM,CHIRALA,Prasad theatre centre,15.81673953,80.34561872,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,Prasad theatre centre,15.81672331,80.3456039,ANALYTICS,Analytics - Crowd Gathering
PRAKASAM,CHIRALA,Prasad theatre centre,15.81672331,80.3456039,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,Swarna gate center,15.82313932,80.34776323,ANPR,ANPR - Free Flow
PRAKASAM,CHIRALA,Swarna gate center,15.82313932,80.34776323,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,Swarna gate center,15.82313932,80.34776323,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,Swarna gate center,15.82370058,80.34690365,ANPR,ANPR - Free Flow
PRAKASAM,CHIRALA,Swarna gate center,15.82370058,80.34690365,FIXED,Fixed - General Surveillance
PRAKASAM,DARSI,Anjaneyaswamy temple Kurichedu road,15.76814138,79.68193662,ANALYTICS,Analytics - Crowd Gathering
PRAKASAM,DARSI,Anjaneyaswamy temple Kurichedu road,15.76814138,79.68193662,PTZ,PTZ - General Surveillance
PRAKASAM,DARSI,Anjaneyaswamy temple Pottisriramula street.,15.76532754,79.67756225,FIXED,Fixed - General Surveillance
PRAKASAM,DARSI,at Bashyam School,15.765372,79.68263,PTZ,PTZ - General Surveillance
PRAKASAM,DARSI,At BSNL office Kurichedu road,15.76814138,79.68193662,FIXED,Fixed - General Surveillance
PRAKASAM,DARSI,Auto Nagar Addanki road,15.77242656,79.68404088,PTZ,PTZ - General Surveillance
PRAKASAM,DARSI,Balaji Venture in side,15.76532754,79.67756225,PTZ,PTZ - General Surveillance
PRAKASAM,DARSI,Bus & Autos halting point Kurichedu road.,15.76996885,79.67960391,FIXED,Fixed - General Surveillance
PRAKASAM,DARSI,Bus & Autos halting point Kurichedu road.,15.76996885,79.67960391,PTZ,PTZ - General Surveillance
PRAKASAM,DARSI,C.I. of office Point,15.76532754,79.67756225,FIXED,Fixed - General Surveillance
PRAKASAM,DARSI,Chennareddy Venture Podili road,15.76532754,79.67756225,PTZ,PTZ - General Surveillance
PRAKASAM,DARSI,Chowtapalem road entrance Near Clock tower centre,15.76990065,79.67968984,ANPR,ANPR - Free Flow
PRAKASAM,DARSI,Chowtapalem road entrance Near Clock tower centre,15.76990065,79.67968984,FIXED,Fixed - General Surveillance
PRAKASAM,DARSI,Clock Tower Centre Addanki road,15.77012851,79.67958097,ANPR,ANPR - Free Flow
PRAKASAM,DARSI,Clock Tower Centre Addanki road,15.77012851,79.67958097,FIXED,Fixed - General Surveillance
PRAKASAM,DARSI,Clock Tower Centre Kurichedu road,15.76996885,79.67960391,ANPR,ANPR - Free Flow
PRAKASAM,DARSI,Clock Tower Centre Kurichedu road,15.76996885,79.67960391,ANALYTICS,Analytics - Crowd Gathering
PRAKASAM,DARSI,Clock Tower Centre Podili road,15.76983817,79.67947841,ANPR,ANPR - Free Flow
PRAKASAM,DARSI,Clock Tower Centre Podili road,15.76983817,79.67947841,ANALYTICS,Analytics - Crowd Gathering
PRAKASAM,DARSI,Clock Tower Centre Podili road,15.76996885,79.67960391,FIXED,Fixed - General Surveillance
PRAKASAM,DARSI,Clock Tower Centre Podili road,15.76996885,79.67960391,PTZ,PTZ - General Surveillance
PRAKASAM,DARSI,Court Centre,15.76532754,79.67756225,PTZ,PTZ - General Surveillance
PRAKASAM,DARSI,Daddalamma temple,15.76532754,79.67756225,ANPR,ANPR - Free Flow
PRAKASAM,DARSI,DSP office centre,15.76797264,79.67868502,PTZ,PTZ - General Surveillance
PRAKASAM,DARSI,DVS Nagar Kurichedu road,15.76532754,79.67756225,ANPR,ANPR - Free Flow
PRAKASAM,DARSI,Grameena Bank Devider,15.7709881,79.67852221,FIXED,Fixed - General Surveillance
PRAKASAM,DARSI,Happy home junction,15.76402603,79.68233226,FIXED,Fixed - General Surveillance
PRAKASAM,DARSI,Kanaka Durgamma Temple(Apartment),15.76532754,79.67756225,ANPR,ANPR - Free Flow
PRAKASAM,DARSI,Kanaka Durgamma Temple(Apartment),15.77824584,79.6922416,ANPR,ANPR - Free Flow
PRAKASAM,DARSI,Kothapalem Gangavaram road,15.77824584,79.6922416,FIXED,Fixed - General Surveillance
PRAKASAM,DARSI,LP road entrance,15.76966894,79.67741364,ANPR,ANPR - Free Flow
PRAKASAM,DARSI,LP road entrance,15.76966894,79.67741364,PTZ,PTZ - General Surveillance
PRAKASAM,DARSI,Manjunatha Venture,15.76532754,79.67756225,PTZ,PTZ - General Surveillance
PRAKASAM,DARSI,Near Lakshmi Timber Depot. Putchalamitta area,15.76532754,79.67756225,PTZ,PTZ - General Surveillance
PRAKASAM,DARSI,NSP Canal Kurichedu road,15.76532754,79.67756225,ANPR,ANPR - Free Flow
PRAKASAM,DARSI,NSP Canal Kurichedu road,15.76532754,79.67756225,FIXED,Fixed - General Surveillance
PRAKASAM,DARSI,NSP Canal Kurichedu road,15.76532754,79.67756225,PTZ,PTZ - General Surveillance
PRAKASAM,DARSI,NSP canal Podili road,15.76532754,79.67756225,ANPR,ANPR - Free Flow
PRAKASAM,DARSI,Opp. Govt. Jr. college Addanki road,15.76996885,79.67960391,PTZ,PTZ - General Surveillance
PRAKASAM,DARSI,Putchalamitta,15.76532754,79.67756225,PTZ,PTZ - General Surveillance
PRAKASAM,DARSI,Reddy complex Addanki road,15.77327362,79.68569174,ANPR,ANPR - Free Flow
PRAKASAM,DARSI,Reddy complex Addanki road,15.77327362,79.68569174,ANALYTICS,Analytics - Crowd Gathering
PRAKASAM,DARSI,Reddy complex Addanki road,15.76532754,79.67756225,PTZ,PTZ - General Surveillance
PRAKASAM,DARSI,Sanduvaripalem,15.769384,79.684934,PTZ,PTZ - General Surveillance
PRAKASAM,DARSI,SBI centre Podili road,15.76910667,79.67914934,ANALYTICS,Analytics - Crowd Gathering
PRAKASAM,DARSI,SBI centre Podili road,15.76910667,79.67914934,FIXED,Fixed - General Surveillance
PRAKASAM,DARSI,Siva Sankar Cinema Theatre Addanki road.,15.76532754,79.67756225,ANALYTICS,Analytics - Crowd Gathering
PRAKASAM,DARSI,Siva Venture (TDP Office),15.76532754,79.67756225,FIXED,Fixed - General Surveillance
PRAKASAM,DARSI,Siva Venture (TDP Office),15.76532754,79.67756225,PTZ,PTZ - General Surveillance
PRAKASAM,DARSI,Srinivasa Theatre Choutapalem road.,15.76814138,79.68193662,FIXED,Fixed - General Surveillance
PRAKASAM,DARSI,Syndicate Bank Junction,15.76814138,79.68193662,PTZ,PTZ - General Surveillance
PRAKASAM,DARSI,Syndicate Bank Junction,15.76814138,79.68193662,FIXED,Fixed - General Surveillance
